Gen,NbVert,T_Min,T_Avg,T_Max,T_mutat,T_eval,T_total
0,520,0.01,0.03,0.12,0.11,0.91,1.91
1,539,0.01,0.04,0.13,1.16,0.97,6.24
2,540,0.01,0.05,0.12,0.99,1.13,10.39
3,548,0.01,0.06,0.14,1.02,0.98,14.50
4,554,0.01,0.06,0.16,1.02,0.98,18.59
5,559,0.01,0.07,0.20,0.83,1.04,22.36
6,555,0.01,0.08,0.20,1.14,1.03,26.75
7,562,0.01,0.09,0.24,0.99,1.13,30.96
8,549,0.02,0.10,0.24,0.93,1.17,35.30
9,552,0.01,0.11,0.24,0.61,1.18,39.11
10,556,0.01,0.11,0.24,1.00,0.95,42.96
11,560,0.01,0.13,0.27,0.94,0.95,46.67
12,558,0.01,0.13,0.33,0.77,0.99,50.04
13,566,0.01,0.13,0.29,0.89,0.98,53.92
14,570,0.01,0.14,0.31,0.80,0.99,57.78
15,569,0.01,0.15,0.31,0.69,1.10,61.36
16,567,0.01,0.15,0.31,0.91,1.09,65.55
17,565,0.01,0.16,0.33,0.80,1.15,69.58
18,567,0.02,0.18,0.35,0.75,1.21,73.30
19,572,0.01,0.19,0.40,0.83,1.26,77.16
20,574,0.01,0.21,0.40,0.84,1.37,81.04
21,572,0.02,0.21,0.39,0.56,1.36,84.75
22,572,0.01,0.21,0.40,0.75,1.30,88.72
23,568,0.02,0.24,0.40,0.76,1.32,92.86
24,567,0.01,0.23,0.40,0.88,1.42,97.24
25,572,0.01,0.24,0.41,0.62,1.43,101.28
26,572,0.02,0.23,0.39,0.86,1.49,105.79
27,577,0.01,0.24,0.40,0.63,1.48,110.09
28,569,0.02,0.25,0.40,0.96,1.49,114.60
29,575,0.01,0.24,0.40,0.78,1.52,119.04
30,578,0.01,0.26,0.41,0.56,1.58,123.27
31,576,0.02,0.25,0.41,0.76,1.41,127.72
32,577,0.02,0.23,0.40,0.67,1.49,132.04
33,577,0.02,0.24,0.41,0.57,1.60,136.42
34,571,0.01,0.29,0.45,0.75,1.67,141.20
35,600,0.01,0.25,0.44,0.63,1.61,145.65
36,590,0.02,0.27,0.46,0.76,1.59,150.27
37,585,0.01,0.25,0.45,0.69,1.50,154.66
38,584,0.01,0.24,0.44,1.00,1.50,159.62
39,575,0.02,0.25,0.44,0.81,1.62,164.45
40,579,0.01,0.24,0.45,0.87,1.56,169.45
41,584,0.02,0.26,0.44,0.74,1.68,174.36
42,579,0.01,0.27,0.44,0.87,1.61,179.39
43,572,0.02,0.29,0.48,0.64,1.75,184.19
44,571,0.01,0.27,0.45,0.77,1.68,189.08
45,594,0.02,0.29,0.47,0.94,1.84,194.53
46,590,0.01,0.28,0.45,0.67,1.93,199.58
47,588,0.01,0.28,0.45,0.59,1.85,204.62
48,587,0.01,0.27,0.44,0.62,1.76,209.69
49,585,0.02,0.28,0.46,0.75,1.79,214.36
50,605,0.02,0.30,0.48,0.81,1.93,219.87
51,607,0.01,0.26,0.47,0.74,1.67,225.05
52,598,0.01,0.24,0.45,0.96,1.71,230.29
53,597,0.01,0.26,0.48,0.78,1.68,235.23
54,590,0.02,0.25,0.46,0.93,1.86,240.74
55,618,0.01,0.25,0.46,0.70,1.74,245.85
56,621,0.01,0.24,0.46,0.77,1.75,251.08
57,613,0.01,0.27,0.48,0.69,2.00,256.98
58,615,0.01,0.25,0.47,1.24,2.18,263.68
59,609,0.02,0.25,0.47,0.89,2.13,269.73
60,634,0.01,0.25,0.47,0.89,1.64,275.16
61,616,0.02,0.25,0.47,0.71,1.69,280.37
62,613,0.01,0.22,0.46,0.89,1.57,285.71
63,607,0.01,0.24,0.47,0.86,1.73,291.13
64,595,0.01,0.24,0.47,0.87,1.67,296.63
65,621,0.01,0.26,0.47,0.60,1.69,301.69
66,618,0.01,0.23,0.47,0.98,1.56,306.93
67,615,0.02,0.25,0.47,0.76,1.60,312.12
68,616,0.02,0.24,0.47,0.83,1.64,317.40
69,604,0.01,0.24,0.47,0.83,1.65,322.88
70,644,0.01,0.24,0.46,0.80,1.62,328.48
71,639,0.01,0.24,0.47,1.01,1.60,334.07
72,630,0.01,0.24,0.47,0.99,1.57,339.50
73,626,0.01,0.24,0.46,0.90,1.52,344.82
74,614,0.01,0.24,0.47,0.78,1.66,350.14
75,640,0.02,0.25,0.47,0.83,1.74,356.12
76,637,0.01,0.25,0.46,0.90,1.73,361.88
77,634,0.01,0.24,0.47,0.75,1.64,367.36
78,624,0.02,0.24,0.47,0.79,1.63,373.00
79,624,0.02,0.22,0.46,0.92,1.45,378.66
