Gen,NbVert,T_Min,T_Avg,T_Max,T_mutat,T_eval,T_total
0,520,0.01,0.03,0.12,0.09,0.65,1.53
1,539,0.01,0.04,0.13,0.79,0.68,4.50
2,540,0.01,0.05,0.12,0.68,0.68,7.26
3,548,0.01,0.06,0.14,0.70,0.72,10.07
4,554,0.01,0.06,0.16,0.74,0.69,12.95
5,559,0.01,0.07,0.19,0.56,0.70,15.51
6,554,0.02,0.08,0.20,0.98,0.83,18.95
7,561,0.01,0.09,0.22,0.74,0.85,22.10
8,554,0.01,0.10,0.22,0.60,0.87,25.16
9,566,0.02,0.12,0.27,0.63,0.90,28.48
10,569,0.01,0.13,0.27,0.84,0.94,32.01
11,566,0.01,0.13,0.30,0.71,0.92,35.51
12,571,0.01,0.14,0.31,0.64,0.98,39.13
13,579,0.01,0.14,0.31,0.89,0.97,42.75
14,575,0.02,0.14,0.31,0.71,0.97,46.50
15,568,0.02,0.16,0.32,0.87,1.12,50.39
16,572,0.01,0.16,0.35,0.72,1.03,54.07
17,566,0.00,0.17,0.33,0.72,1.04,58.18
18,570,0.01,0.17,0.34,0.85,1.04,62.01
19,569,0.01,0.18,0.33,0.88,1.07,66.09
20,585,0.01,0.19,0.34,0.96,1.12,70.24
21,585,0.01,0.19,0.33,1.22,1.56,75.60
22,578,0.01,0.22,0.37,1.19,1.60,82.41
23,576,0.02,0.21,0.41,1.36,1.17,88.63
24,577,0.01,0.19,0.36,0.81,1.21,92.97
25,593,0.01,0.21,0.39,0.82,1.20,97.39
26,596,0.02,0.21,0.41,0.79,1.14,101.42
27,594,0.02,0.20,0.40,0.80,1.11,105.71
28,594,0.01,0.20,0.40,0.96,1.18,109.87
29,591,0.01,0.21,0.40,0.75,1.23,114.12
30,598,0.01,0.21,0.39,1.10,1.28,119.20
31,598,0.01,0.20,0.40,0.84,1.13,123.63
32,594,0.02,0.22,0.40,1.01,1.16,128.08
33,583,0.01,0.19,0.40,0.95,1.12,132.61
34,587,0.02,0.23,0.43,1.05,1.14,136.76
35,602,0.01,0.23,0.40,0.81,1.16,140.82
36,597,0.02,0.23,0.41,0.86,1.15,145.03
37,594,0.01,0.21,0.41,1.02,1.12,149.41
38,587,0.01,0.21,0.42,1.01,1.14,153.50
39,583,0.02,0.21,0.41,0.81,1.21,157.49
40,591,0.01,0.20,0.41,1.08,1.31,162.24
41,590,0.01,0.21,0.41,0.92,1.19,166.46
42,586,0.01,0.21,0.39,1.02,1.21,170.76
43,586,0.01,0.22,0.41,0.99,1.22,175.20
44,578,0.01,0.22,0.41,0.97,1.22,179.50
45,592,0.01,0.24,0.45,0.93,1.34,183.99
46,588,0.01,0.24,0.42,0.81,1.38,188.70
47,590,0.01,0.25,0.42,0.85,1.35,193.27
48,578,0.01,0.24,0.45,0.78,1.40,197.49
49,569,0.01,0.25,0.44,0.86,1.40,201.99
50,600,0.01,0.25,0.44,0.79,1.35,206.48
51,606,0.01,0.26,0.44,0.77,1.44,210.78
52,598,0.01,0.25,0.43,0.83,1.45,215.44
53,600,0.01,0.26,0.45,1.16,1.44,220.56
54,593,0.01,0.27,0.45,0.93,1.38,225.19
55,620,0.02,0.25,0.45,0.94,1.39,229.62
56,620,0.02,0.27,0.47,0.87,1.44,234.35
57,619,0.02,0.27,0.45,0.99,1.54,239.63
58,618,0.01,0.26,0.45,0.67,1.43,244.38
59,618,0.02,0.26,0.45,1.04,1.48,249.63
60,640,0.01,0.25,0.45,0.83,1.41,254.36
61,639,0.01,0.23,0.46,0.78,1.36,258.96
62,639,0.02,0.23,0.45,1.04,1.33,263.76
63,628,0.01,0.23,0.46,1.12,1.21,268.53
64,618,0.02,0.23,0.45,0.92,1.22,273.25
65,643,0.01,0.22,0.47,0.85,1.15,277.63
66,636,0.01,0.24,0.47,0.94,1.36,282.29
67,623,0.02,0.22,0.47,0.84,1.24,286.88
68,613,0.01,0.21,0.47,0.95,1.21,291.50
69,609,0.01,0.23,0.47,0.91,1.30,296.15
70,636,0.01,0.25,0.47,0.75,1.25,300.32
71,631,0.01,0.24,0.47,0.79,1.30,304.76
72,620,0.01,0.22,0.47,0.94,1.30,309.37
73,610,0.01,0.23,0.47,0.93,1.43,314.37
74,600,0.01,0.24,0.47,0.96,1.28,319.09
75,623,0.01,0.23,0.47,0.81,1.29,323.33
76,620,0.01,0.24,0.47,0.97,1.34,328.01
77,615,0.01,0.26,0.48,0.99,1.45,332.89
78,612,0.01,0.25,0.46,0.94,1.53,337.69
79,607,0.01,0.25,0.46,0.96,1.52,342.66
