Gen,NbVert,T_Min,T_Avg,T_Max,T_mutat,T_eval,T_total
0,520,0.01,0.03,0.12,0.08,0.79,1.68
1,539,0.01,0.04,0.13,0.92,0.69,5.12
2,540,0.01,0.05,0.12,0.68,0.70,7.94
3,548,0.01,0.06,0.14,0.69,0.71,10.73
4,554,0.01,0.06,0.16,0.74,0.71,13.65
5,559,0.01,0.07,0.19,0.57,0.71,16.23
6,554,0.02,0.08,0.20,0.83,0.74,19.21
7,558,0.01,0.09,0.24,0.70,0.76,22.31
8,561,0.01,0.10,0.22,0.76,0.90,25.74
9,557,0.02,0.11,0.23,0.91,0.93,29.44
10,569,0.01,0.12,0.27,1.04,0.94,33.48
11,572,0.01,0.13,0.32,0.86,0.93,37.13
12,572,0.01,0.14,0.30,0.90,0.96,40.88
13,571,0.01,0.15,0.30,0.77,0.97,44.26
14,569,0.01,0.15,0.29,0.59,0.99,47.71
15,565,0.01,0.15,0.30,0.78,1.02,51.22
16,563,0.01,0.15,0.29,0.85,0.99,54.75
17,567,0.01,0.15,0.29,0.78,0.98,58.34
18,565,0.01,0.16,0.37,0.93,1.03,62.54
19,566,0.01,0.17,0.33,0.77,1.13,66.59
20,578,0.01,0.17,0.36,0.68,1.12,70.29
21,574,0.01,0.18,0.36,0.67,1.14,74.11
22,571,0.01,0.19,0.37,0.64,1.20,77.80
23,572,0.01,0.20,0.40,0.96,1.27,82.02
24,576,0.01,0.19,0.37,0.87,1.40,86.29
25,592,0.02,0.19,0.36,0.79,1.45,90.80
26,584,0.02,0.19,0.36,0.83,1.41,95.36
27,594,0.01,0.20,0.36,0.93,1.44,100.25
28,584,0.01,0.19,0.36,0.81,1.51,104.81
29,583,0.02,0.20,0.36,0.92,1.40,109.57
30,603,0.02,0.18,0.36,0.68,1.36,114.06
31,600,0.01,0.21,0.38,0.77,1.41,118.69
32,603,0.02,0.21,0.36,0.99,1.46,123.69
33,592,0.02,0.21,0.36,0.99,1.46,128.64
34,589,0.01,0.23,0.40,0.67,1.51,133.28
35,615,0.01,0.21,0.38,1.09,1.50,138.28
36,605,0.02,0.23,0.38,1.23,1.53,143.59
37,609,0.00,0.21,0.38,0.95,1.41,148.54
38,608,0.01,0.23,0.40,0.94,1.42,153.62
39,605,0.01,0.22,0.40,0.78,1.50,158.55
40,623,0.01,0.20,0.39,0.75,1.38,163.24
41,615,0.01,0.20,0.39,0.96,1.50,168.38
42,614,0.01,0.20,0.39,0.79,1.40,173.27
43,610,0.01,0.21,0.40,0.71,1.34,178.09
44,607,0.01,0.21,0.41,0.86,1.40,183.15
45,632,0.02,0.21,0.40,1.08,1.41,188.33
46,636,0.02,0.20,0.40,1.00,1.44,193.80
47,629,0.01,0.21,0.40,1.00,1.46,199.08
48,629,0.01,0.22,0.41,0.90,1.47,204.22
49,620,0.02,0.22,0.41,0.96,1.47,209.47
50,645,0.01,0.22,0.46,1.07,1.42,214.91
51,644,0.01,0.24,0.47,0.91,1.41,219.87
52,631,0.01,0.20,0.44,0.70,1.52,224.77
53,622,0.01,0.23,0.46,1.27,1.44,230.28
54,618,0.01,0.25,0.45,0.94,1.49,235.47
55,632,0.02,0.24,0.44,0.74,1.50,240.33
56,629,0.01,0.23,0.46,0.81,1.45,245.22
57,618,0.02,0.25,0.44,1.01,1.79,250.74
58,621,0.02,0.25,0.46,0.84,1.57,255.71
59,617,0.02,0.26,0.46,0.76,1.76,261.08
60,634,0.02,0.28,0.47,0.88,1.72,266.68
61,631,0.01,0.26,0.46,1.09,2.01,272.52
62,634,0.01,0.24,0.45,1.21,2.08,279.31
63,631,0.01,0.24,0.45,0.78,1.67,285.15
64,626,0.01,0.24,0.45,0.89,1.54,290.25
65,649,0.01,0.24,0.45,0.83,1.55,295.29
66,644,0.01,0.24,0.45,0.95,1.65,300.72
67,642,0.01,0.24,0.50,0.95,1.58,305.92
68,637,0.01,0.24,0.47,1.18,1.55,311.51
69,639,0.01,0.22,0.47,1.11,1.64,317.27
70,653,0.01,0.25,0.47,0.99,1.61,322.77
71,655,0.02,0.22,0.47,1.08,1.52,328.52
72,652,0.01,0.23,0.50,1.04,1.56,334.12
73,653,0.01,0.22,0.49,0.81,1.48,339.24
74,649,0.01,0.22,0.48,1.31,1.57,345.01
75,672,0.02,0.22,0.48,1.03,1.56,350.45
76,672,0.02,0.22,0.49,1.10,1.48,355.86
77,659,0.01,0.23,0.49,1.10,1.59,361.58
78,654,0.02,0.23,0.48,1.16,1.58,367.23
79,645,0.01,0.23,0.49,1.42,1.69,373.46
