Gen,NbVert,T_Min,T_Avg,T_Max,T_mutat,T_eval,T_total
0,420,0.00,0.03,0.10,0.09,0.22,0.90
1,436,0.01,0.05,0.17,0.26,0.22,2.18
2,441,0.01,0.05,0.17,0.11,0.16,3.59
3,437,0.01,0.06,0.16,0.15,0.16,5.04
4,445,0.01,0.07,0.18,0.22,0.09,6.84
5,447,0.01,0.07,0.19,0.22,0.27,8.65
6,449,0.01,0.08,0.21,0.18,0.10,10.20
7,453,0.01,0.09,0.21,0.16,0.27,12.08
8,453,0.01,0.09,0.21,0.17,0.13,13.91
9,451,0.01,0.09,0.21,0.20,0.18,15.62
10,467,0.02,0.10,0.23,0.12,0.18,17.46
11,465,0.02,0.11,0.26,0.25,0.33,19.35
12,460,0.00,0.11,0.27,0.28,0.18,21.20
13,455,0.01,0.12,0.26,0.11,0.14,23.11
14,455,0.01,0.12,0.27,0.17,0.22,24.94
15,471,0.01,0.13,0.28,0.17,0.25,27.05
16,470,0.01,0.13,0.30,0.21,0.17,28.80
17,470,0.01,0.13,0.31,0.18,0.18,30.93
18,463,0.02,0.13,0.30,0.25,0.27,32.97
19,462,0.01,0.13,0.29,0.26,0.12,34.78
20,490,0.01,0.14,0.29,0.25,0.30,36.88
21,485,0.01,0.14,0.30,0.16,0.12,38.75
22,472,0.01,0.14,0.32,0.31,0.28,40.93
23,465,0.01,0.15,0.36,0.14,0.25,42.70
24,457,0.01,0.14,0.35,0.30,0.35,44.77
25,486,0.01,0.14,0.35,0.20,0.17,46.62
26,480,0.02,0.15,0.36,0.20,0.19,48.95
27,480,0.01,0.17,0.37,0.37,0.17,51.04
28,474,0.01,0.18,0.37,0.35,0.35,53.35
29,468,0.01,0.18,0.36,0.24,0.27,55.39
30,507,0.01,0.19,0.41,0.21,0.25,57.70
31,504,0.02,0.17,0.41,0.34,0.15,59.82
32,507,0.01,0.19,0.41,0.45,0.28,62.24
33,507,0.02,0.18,0.38,0.40,0.30,64.79
34,500,0.01,0.20,0.40,0.29,0.25,66.93
35,556,0.01,0.19,0.40,0.26,0.31,69.46
36,554,0.02,0.20,0.44,0.44,0.28,71.84
37,547,0.01,0.21,0.44,0.41,0.37,74.46
38,536,0.01,0.21,0.43,0.32,0.42,77.05
39,531,0.01,0.20,0.42,0.34,0.27,79.35
40,574,0.01,0.21,0.42,0.32,0.29,81.81
41,578,0.02,0.20,0.44,0.41,0.16,84.32
42,568,0.02,0.20,0.47,0.29,0.22,86.86
43,567,0.01,0.19,0.48,0.36,0.21,89.47
44,556,0.01,0.19,0.46,0.36,0.21,92.00
45,604,0.01,0.20,0.46,0.34,0.35,94.50
46,594,0.02,0.22,0.46,0.33,0.30,97.09
47,588,0.01,0.21,0.46,0.35,0.18,99.20
48,581,0.01,0.23,0.45,0.35,0.32,101.85
49,567,0.01,0.22,0.46,0.38,0.22,104.29
50,618,0.01,0.21,0.46,0.37,0.20,106.74
51,604,0.01,0.21,0.46,0.36,0.21,109.48
52,590,0.01,0.20,0.46,0.38,0.18,112.07
53,577,0.02,0.20,0.46,0.34,0.17,114.53
54,572,0.01,0.20,0.46,0.27,0.21,117.02
55,616,0.01,0.20,0.47,0.44,0.15,119.30
56,604,0.01,0.22,0.48,0.43,0.17,121.83
57,589,0.01,0.22,0.47,0.36,0.16,124.16
58,583,0.01,0.21,0.47,0.49,0.17,126.74
