Gen,NbVert,T_Min,T_Avg,T_Max,T_mutat,T_eval,T_total
0,520,0.01,0.03,0.12,0.07,0.84,0.91
1,539,0.01,0.04,0.13,1.04,1.04,3.01
2,540,0.01,0.05,0.12,1.01,1.11,5.14
3,548,0.01,0.06,0.14,0.97,1.02,7.14
4,554,0.01,0.06,0.16,1.06,1.05,9.27
5,564,0.01,0.07,0.19,0.78,1.05,11.13
6,550,0.01,0.08,0.22,0.99,1.11,13.24
7,556,0.01,0.10,0.26,1.19,1.13,15.58
8,559,0.01,0.10,0.25,1.00,1.14,17.74
9,556,0.01,0.12,0.27,1.07,1.24,20.07
10,557,0.00,0.13,0.28,1.34,1.30,22.73
11,561,0.01,0.15,0.30,1.13,1.25,25.13
12,566,0.01,0.15,0.30,1.06,1.32,27.54
13,566,0.02,0.16,0.31,0.48,1.09,29.14
14,572,0.01,0.15,0.30,0.69,1.10,30.95
15,560,0.02,0.17,0.34,0.49,1.21,32.66
16,566,0.01,0.18,0.33,0.45,1.28,34.41
17,566,0.01,0.18,0.34,0.61,1.18,36.21
18,564,0.01,0.20,0.34,0.80,1.25,38.28
19,562,0.02,0.20,0.35,0.70,1.32,40.32
20,570,0.01,0.20,0.35,0.53,1.34,42.20
21,558,0.01,0.22,0.37,0.59,1.48,44.29
22,555,0.01,0.21,0.37,0.45,1.46,46.21
23,554,0.02,0.22,0.39,0.60,1.46,48.30
24,560,0.02,0.20,0.36,0.56,1.50,50.38
25,554,0.02,0.22,0.38,0.67,1.49,52.55
26,559,0.02,0.23,0.39,0.59,1.58,54.74
27,568,0.02,0.23,0.40,0.51,1.72,57.00
28,569,0.02,0.23,0.38,0.57,1.71,59.30
29,567,0.01,0.24,0.37,0.73,1.81,61.86
30,567,0.01,0.25,0.39,0.61,1.80,64.29
31,566,0.01,0.25,0.41,0.62,1.79,66.72
32,559,0.02,0.25,0.40,0.69,1.82,69.25
33,560,0.02,0.25,0.39,0.67,1.86,71.80
34,559,0.01,0.26,0.41,0.67,1.77,74.27
35,558,0.01,0.23,0.40,0.60,1.82,76.71
36,560,0.02,0.26,0.42,0.62,1.83,79.17
37,556,0.01,0.26,0.40,0.69,1.86,81.75
38,560,0.01,0.26,0.40,0.59,1.98,84.34
39,557,0.02,0.27,0.41,0.62,2.06,87.04
40,560,0.01,0.26,0.40,0.58,2.05,89.69
41,568,0.01,0.26,0.40,0.58,2.05,92.34
42,562,0.02,0.27,0.40,0.70,2.06,95.11
43,561,0.01,0.26,0.40,0.78,2.01,97.92
44,564,0.01,0.25,0.40,0.65,2.00,100.59
45,568,0.02,0.27,0.41,0.55,2.09,103.25
46,568,0.02,0.27,0.40,0.61,2.22,106.10
47,569,0.01,0.27,0.41,0.60,2.15,108.87
48,566,0.02,0.27,0.42,0.57,2.07,111.54
49,570,0.02,0.27,0.41,0.55,2.05,114.16
50,565,0.02,0.28,0.42,0.66,2.26,117.10
51,572,0.01,0.26,0.42,0.58,2.08,119.78
52,558,0.01,0.26,0.42,0.62,2.03,122.45
53,562,0.01,0.27,0.42,0.70,1.99,125.15
54,569,0.02,0.27,0.43,0.80,2.08,128.05
55,568,0.01,0.27,0.42,0.69,2.58,131.35
56,572,0.02,0.25,0.42,0.91,2.13,134.41
57,564,0.02,0.28,0.43,0.93,2.23,137.60
58,566,0.01,0.26,0.42,0.56,2.61,140.79
59,569,0.02,0.27,0.43,1.40,3.52,145.75
60,568,0.02,0.28,0.43,1.22,2.94,149.93
61,581,0.01,0.25,0.42,0.80,2.56,153.32
62,576,0.02,0.26,0.42,0.66,2.77,156.77
63,572,0.01,0.26,0.42,0.97,2.74,160.50
64,570,0.02,0.28,0.42,0.68,2.38,163.58
65,579,0.01,0.25,0.42,0.84,2.41,166.86
66,573,0.02,0.28,0.43,0.87,2.51,170.25
67,576,0.01,0.29,0.46,0.65,2.70,173.63
68,574,0.02,0.26,0.44,0.95,2.52,177.13
69,575,0.02,0.26,0.43,1.14,2.55,180.84
70,575,0.01,0.29,0.45,0.89,2.48,184.23
71,571,0.01,0.28,0.44,1.07,2.69,188.01
72,569,0.02,0.27,0.44,1.19,2.74,191.96
73,569,0.01,0.27,0.43,0.97,2.74,195.70
74,572,0.01,0.28,0.44,0.90,2.76,199.38
75,576,0.01,0.28,0.44,0.84,2.53,202.77
76,576,0.01,0.26,0.44,1.03,1.90,205.72
77,575,0.01,0.29,0.44,0.97,2.07,208.78
78,577,0.02,0.28,0.44,0.72,1.97,211.50
79,579,0.01,0.27,0.44,0.93,2.15,214.60
