Gen,NbVert,T_Min,T_Avg,T_Max,V_Min,V_Avg,V_Max,T_mutat,T_eval,T_valid,T_total
0,1020,0.01,0.03,0.11,0.02,0.07,0.12,0.25,0.27,0.04,0.56
1,1066,0.00,0.05,0.15,0.03,0.07,0.12,0.74,0.17,0.06,1.54
2,1083,0.01,0.05,0.14,0.03,0.09,0.15,0.76,0.46,0.15,2.92
3,1093,0.01,0.06,0.17,0.03,0.11,0.16,1.08,0.61,0.21,4.82
4,1083,0.01,0.07,0.19,0.02,0.11,0.17,1.29,0.19,0.08,6.38
5,1091,0.01,0.08,0.20,0.02,0.12,0.20,0.78,0.21,0.08,7.45
6,1101,0.01,0.08,0.21,0.02,0.14,0.22,0.90,0.51,0.13,8.99
7,1113,0.01,0.09,0.24,0.01,0.15,0.25,1.10,0.75,0.16,11.01
8,1108,0.01,0.10,0.25,0.02,0.16,0.26,0.98,0.24,0.09,12.31
9,1113,0.01,0.11,0.25,0.01,0.17,0.26,0.71,0.24,0.15,13.42
10,1112,0.01,0.11,0.26,0.02,0.17,0.27,0.98,0.42,0.18,15.01
11,1110,0.01,0.13,0.29,0.02,0.19,0.29,1.28,0.69,0.18,17.17
12,1113,0.01,0.14,0.31,0.02,0.21,0.30,0.65,0.27,0.11,18.19
13,1124,0.01,0.14,0.31,0.02,0.21,0.32,0.69,0.41,0.19,19.48
14,1115,0.02,0.15,0.33,0.01,0.22,0.31,0.74,0.73,0.20,21.16
15,1110,0.01,0.15,0.31,0.02,0.22,0.33,1.10,0.86,0.10,23.22
16,1118,0.01,0.16,0.35,0.02,0.24,0.37,0.87,0.29,0.09,24.47
17,1114,0.01,0.17,0.35,0.02,0.25,0.39,0.94,0.56,0.21,26.18
18,1107,0.02,0.18,0.35,0.02,0.24,0.35,1.42,0.89,0.26,28.75
19,1111,0.01,0.20,0.36,0.02,0.26,0.39,0.75,0.34,0.18,30.02
20,1110,0.02,0.20,0.36,0.02,0.25,0.35,0.59,1.18,0.10,31.90
21,1107,0.01,0.19,0.36,0.02,0.26,0.37,1.06,1.38,0.20,34.54
22,1117,0.01,0.20,0.36,0.02,0.27,0.40,0.81,0.55,0.10,36.01
23,1117,0.01,0.21,0.40,0.02,0.27,0.40,0.85,0.72,0.15,37.74
24,1115,0.01,0.20,0.37,0.02,0.28,0.38,1.16,0.96,0.22,40.08
25,1126,0.01,0.22,0.40,0.02,0.27,0.39,0.75,0.54,0.14,41.51
26,1125,0.01,0.22,0.39,0.02,0.27,0.41,0.82,0.76,0.22,43.30
27,1121,0.01,0.22,0.40,0.02,0.29,0.42,1.26,1.01,0.15,45.72
28,1122,0.01,0.21,0.39,0.02,0.28,0.42,0.79,0.45,0.10,47.06
29,1121,0.01,0.21,0.40,0.02,0.28,0.42,1.00,0.78,0.15,48.99
30,1126,0.01,0.21,0.41,0.09,0.29,0.45,1.26,1.01,0.30,51.56
31,1128,0.01,0.21,0.41,0.09,0.30,0.46,0.80,0.60,0.11,53.08
32,1126,0.01,0.23,0.43,0.02,0.30,0.45,0.85,0.97,0.10,55.00
33,1131,0.01,0.24,0.45,0.02,0.31,0.43,1.30,0.94,0.23,57.46
34,1133,0.01,0.26,0.45,0.02,0.33,0.46,0.88,0.37,0.13,58.85
35,1128,0.01,0.26,0.44,0.02,0.34,0.49,0.69,0.64,0.23,60.40
36,1116,0.01,0.28,0.49,0.02,0.33,0.45,1.09,1.14,0.23,62.86
37,1115,0.01,0.27,0.46,0.02,0.35,0.50,1.11,0.46,0.21,64.65
38,1120,0.02,0.28,0.46,0.06,0.33,0.45,0.64,1.10,0.11,66.50
39,1132,0.01,0.26,0.46,0.02,0.35,0.47,1.24,0.94,0.24,68.91
40,1127,0.02,0.27,0.46,0.05,0.34,0.47,1.00,0.39,0.15,70.45
41,1134,0.01,0.26,0.46,0.07,0.35,0.47,0.72,0.57,0.25,71.98
42,1130,0.01,0.27,0.46,0.02,0.34,0.46,1.24,1.02,0.22,74.46
43,1127,0.02,0.28,0.49,0.02,0.36,0.47,1.02,0.37,0.13,75.98
