Gen,NbVert,T_Min,T_Avg,T_Max,T_mutat,T_eval,T_total
0,173,-45.11,-14.74,-6.76,0.03,1.32,2.98
1,180,-45.59,-10.82,-6.86,0.40,1.44,6.70
2,177,-42.27,-9.19,-6.18,0.32,1.18,9.70
3,185,-45.64,-9.91,-5.92,0.51,1.40,13.53
4,185,-37.40,-8.50,-6.28,0.61,1.22,17.23
5,189,-38.05,-8.36,-5.87,0.31,1.11,20.14
6,188,-28.24,-7.69,-2.94,0.35,1.21,23.16
7,187,-30.95,-7.75,-2.95,0.37,1.25,26.44
8,188,-37.67,-7.68,-2.95,0.40,1.38,30.51
9,192,-28.46,-7.57,-2.95,0.43,1.46,34.13
10,193,-41.03,-7.29,2.81,0.39,1.11,37.14
11,193,-40.62,-8.47,-2.06,0.77,1.59,41.45
12,191,-29.73,-7.05,-2.06,0.24,1.21,44.31
13,194,-25.61,-7.25,-2.06,0.46,1.33,47.57
14,195,-43.40,-8.87,-2.06,0.62,1.28,51.10
15,194,-30.69,-7.56,-2.06,0.40,1.26,54.41
16,197,-27.57,-6.79,-2.06,0.32,1.20,57.62
17,200,-27.94,-6.87,-2.06,0.42,1.39,61.25
18,195,-37.93,-7.37,-2.06,0.42,1.31,65.11
19,192,-45.03,-7.20,-2.06,0.35,1.21,68.28
20,197,-32.62,-7.17,-2.95,0.27,1.11,71.13
21,198,-22.12,-6.66,-0.08,0.29,1.14,74.28
22,198,-44.47,-6.97,-2.06,0.55,1.25,77.56
23,199,-17.82,-6.66,-0.92,0.31,1.23,80.69
24,195,-28.05,-6.96,-0.92,0.38,1.13,84.06
25,201,-36.82,-7.19,-0.92,0.47,1.28,87.41
26,195,-33.29,-7.25,-0.92,0.31,1.10,90.45
27,194,-33.33,-6.79,-0.92,0.42,1.21,93.72
28,197,-15.91,-6.80,-0.92,0.63,1.17,97.13
29,198,-38.96,-6.87,-0.92,0.43,1.20,100.51
30,203,-32.28,-6.44,-0.92,0.39,1.31,104.18
31,205,-21.38,-6.36,-0.92,0.36,1.23,107.55
32,205,-31.32,-6.91,-0.92,0.44,1.26,110.90
33,203,-38.99,-6.88,-0.92,0.39,1.15,114.34
34,202,-35.58,-6.82,-0.92,0.38,1.17,117.90
35,205,-22.50,-6.21,0.08,0.34,1.25,121.21
36,204,-57.88,-7.44,0.21,0.54,1.23,124.87
37,205,-44.89,-7.00,0.21,0.46,1.25,128.35
38,205,-25.03,-6.32,0.21,0.65,1.24,132.10
39,209,-41.84,-6.96,0.21,0.39,1.26,135.53
40,212,-39.67,-6.80,4.63,0.30,1.26,138.68
41,211,-43.32,-6.12,2.32,0.40,1.22,142.30
42,211,-44.53,-6.60,3.26,0.39,1.19,145.96
43,208,-18.12,-6.16,2.32,0.45,1.34,149.50
44,209,-22.57,-6.35,2.32,0.41,1.29,152.86
45,214,-35.03,-6.06,2.32,0.50,1.27,156.42
46,215,-41.05,-6.44,2.32,0.40,1.43,160.18
47,219,-35.44,-6.00,0.21,0.22,1.50,163.59
48,216,-37.07,-6.29,2.32,0.45,1.35,167.11
49,214,-19.13,-5.63,2.32,0.35,1.28,170.38
50,220,-42.06,-6.24,2.63,0.32,1.43,173.90
51,218,-45.36,-6.11,2.32,0.43,1.27,177.56
52,222,-14.82,-5.45,2.32,0.60,1.31,181.22
53,223,-50.67,-5.99,2.32,0.42,1.58,185.20
54,218,-48.43,-5.69,2.32,0.31,1.34,188.79
55,223,-13.88,-5.64,2.32,0.51,1.52,192.56
56,229,-34.66,-6.28,2.32,0.34,1.33,195.69
57,224,-33.71,-5.61,2.32,0.39,1.39,199.18
58,225,-37.77,-5.92,2.32,0.36,1.31,202.67
59,225,-37.01,-6.01,2.27,0.37,1.37,206.02
60,229,-29.93,-5.75,2.27,0.44,1.36,209.36
61,227,-35.31,-5.84,2.32,0.47,1.21,212.78
62,230,-37.39,-6.36,2.32,0.33,1.29,216.36
63,226,-43.95,-5.37,2.32,0.21,1.31,219.41
64,226,-17.54,-5.32,2.32,0.34,1.66,223.32
65,233,-39.19,-5.84,2.32,0.28,1.58,226.94
66,237,-27.12,-5.96,2.32,0.41,1.49,230.50
67,235,-11.86,-4.38,9.35,0.39,1.44,233.93
68,232,-20.14,-4.78,2.66,0.27,1.76,237.96
69,238,-42.21,-5.45,2.66,0.50,1.75,242.07
70,241,-23.34,-4.89,2.66,0.30,1.65,245.65
71,243,-45.30,-5.66,2.66,0.31,1.54,249.26
72,243,-36.21,-5.76,2.66,0.51,1.68,253.11
73,238,-35.37,-4.73,2.66,0.40,1.56,256.83
74,240,-28.68,-5.43,2.66,0.51,1.56,260.71
75,244,-42.74,-6.04,2.66,0.31,1.57,264.51
76,244,-43.37,-4.57,5.58,0.26,1.42,267.85
77,243,-37.36,-4.83,2.66,0.31,1.63,271.65
78,242,-43.95,-5.45,2.66,0.45,1.34,275.33
79,243,-37.34,-5.17,2.66,0.50,1.25,278.79
