Gen,NbVert,T_Min,T_Avg,T_Max,T_mutat,T_eval,T_total
0,173,-45.11,-14.74,-6.76,0.02,1.32,1.35
1,180,-45.59,-10.82,-6.86,0.38,1.43,4.52
2,177,-42.27,-9.19,-6.18,0.31,1.14,7.85
3,183,-45.43,-9.37,-5.89,0.39,1.37,11.09
4,183,-30.61,-8.15,-5.89,0.40,1.18,14.45
5,184,-31.93,-8.39,-5.03,0.48,1.19,17.77
6,187,-29.53,-7.90,-5.71,0.37,1.37,21.22
7,188,-44.11,-8.82,-5.69,0.45,1.39,24.83
8,186,-43.29,-7.93,-5.71,0.34,1.20,28.07
9,189,-30.74,-8.01,-5.71,0.43,1.34,31.67
10,187,-24.33,-7.10,1.75,0.43,1.16,35.03
11,189,-38.79,-8.11,-3.93,0.55,1.51,38.77
12,188,-14.57,-6.95,-3.93,0.25,1.24,42.65
13,186,-33.45,-7.51,-3.93,0.46,1.34,46.35
14,191,-39.23,-8.58,-3.43,0.47,1.17,49.60
15,186,-30.81,-7.57,-2.71,0.37,1.16,52.92
16,186,-39.24,-7.20,-2.71,0.50,1.15,56.16
17,188,-45.90,-7.43,-2.71,0.44,1.29,59.32
18,188,-34.34,-7.55,-2.71,0.46,1.35,62.68
19,190,-39.96,-7.48,-2.71,0.60,1.18,66.18
20,195,-37.88,-7.30,-2.71,0.37,1.24,69.69
21,199,-38.12,-7.59,-2.71,0.40,1.27,72.91
22,199,-39.94,-6.88,-3.93,0.50,1.32,76.44
23,193,-39.63,-7.34,-2.71,0.47,1.08,79.80
24,197,-29.68,-7.10,-2.71,0.45,1.32,83.02
25,198,-18.11,-6.93,-2.71,0.32,1.26,86.31
26,197,-23.53,-6.55,-2.71,0.28,1.29,89.73
27,196,-36.02,-6.83,-2.71,0.41,1.22,93.11
28,202,-39.53,-7.18,-2.71,0.37,1.47,96.61
29,199,-46.30,-6.84,-2.71,0.26,1.28,100.00
30,201,-22.94,-6.08,-2.71,0.38,1.54,103.56
31,205,-14.26,-6.19,-2.71,0.48,1.52,106.96
32,204,-30.89,-6.59,-2.71,0.48,1.44,110.73
33,208,-35.52,-6.78,0.58,0.32,1.43,114.19
34,207,-30.44,-6.72,-0.52,0.34,1.55,117.77
35,204,-35.33,-6.53,-0.52,0.30,1.55,121.34
36,203,-42.56,-8.18,-0.52,0.37,1.48,124.96
37,205,-42.10,-8.26,-0.52,0.32,1.54,128.50
38,206,-34.26,-7.03,-0.52,0.52,1.44,132.23
39,208,-41.13,-7.22,0.19,0.28,1.35,135.41
40,207,-35.17,-6.12,-0.52,0.32,1.45,138.86
41,205,-37.62,-6.94,-0.52,0.24,1.48,142.17
42,206,-45.53,-7.17,-0.52,0.42,1.24,145.77
43,202,-21.74,-6.23,-0.52,0.36,1.48,149.70
44,203,-39.30,-7.04,0.52,0.25,1.37,153.16
45,204,-37.96,-6.51,-0.52,0.32,1.46,156.61
46,206,-39.51,-6.72,-0.52,0.42,1.71,160.59
47,206,-31.82,-5.79,-0.71,0.44,1.56,164.68
48,207,-37.89,-6.50,-0.52,0.20,1.47,168.15
49,204,-34.48,-5.92,-0.52,0.38,1.35,171.68
50,205,-33.62,-6.01,-0.52,0.43,1.52,175.36
51,205,-39.65,-6.21,-0.52,0.43,1.57,178.95
52,206,-44.47,-6.17,-0.52,0.48,1.57,182.80
53,204,-19.59,-5.70,-0.52,0.52,1.52,186.53
54,206,-38.68,-5.68,0.10,0.46,1.77,190.73
55,208,-33.02,-6.55,-0.52,0.41,1.75,194.68
56,208,-30.71,-5.50,-0.52,0.39,1.67,198.65
57,207,-14.91,-5.33,-0.52,0.29,1.43,202.15
58,208,-25.63,-5.65,-0.52,0.33,1.76,206.05
59,207,-39.14,-5.74,-0.52,0.54,1.67,210.18
60,212,-14.35,-5.57,-0.52,0.55,1.67,214.23
61,212,-13.23,-5.11,-0.52,0.30,1.73,217.90
62,212,-30.81,-5.80,-0.52,0.37,1.98,222.14
63,213,-21.89,-5.08,1.33,0.91,1.79,226.47
64,214,-26.09,-5.58,-0.52,0.39,2.03,230.61
65,214,-26.92,-5.31,-0.52,0.30,2.13,234.91
66,220,-28.55,-6.56,-0.52,0.31,1.99,239.00
67,216,-43.21,-6.11,-0.52,0.30,1.81,242.91
68,216,-33.21,-5.55,-0.52,0.44,1.99,246.91
69,217,-13.15,-4.99,-0.52,0.34,1.89,251.09
70,216,-24.32,-5.47,-0.52,0.26,2.01,255.11
71,215,-40.90,-5.90,-0.52,0.36,1.83,259.00
72,219,-21.81,-5.47,-0.52,0.27,1.97,263.18
73,217,-38.89,-5.83,-0.52,0.46,1.74,266.79
74,215,-37.96,-5.99,-0.52,0.34,1.91,270.94
75,214,-39.28,-5.39,-0.52,0.38,1.94,274.95
76,213,-39.04,-5.50,-0.52,0.30,2.18,279.15
77,212,-34.43,-5.57,-0.52,0.59,2.23,283.83
78,211,-21.69,-5.53,-0.52,0.32,1.83,287.81
79,213,-21.29,-5.43,-0.52,0.33,1.75,291.64
