Gen,NbVert,T_Min,T_Avg,T_Max,T_mutat,T_eval,T_total
0,173,-45.11,-14.74,-6.76,0.03,1.49,3.15
1,180,-45.59,-10.82,-6.86,0.41,1.42,7.17
2,177,-45.73,-8.78,-6.50,0.32,1.10,10.07
3,183,-45.94,-9.70,-4.69,0.54,1.31,13.80
4,182,-29.04,-8.62,-5.28,0.37,1.08,16.85
5,183,-36.35,-8.98,-5.28,0.35,1.22,20.09
6,183,-35.85,-8.44,-2.73,0.43,1.30,23.49
7,185,-46.16,-8.42,-2.72,0.35,1.27,26.65
8,188,-45.75,-7.80,-2.72,0.50,1.29,30.18
9,186,-29.15,-7.64,-2.72,0.26,1.24,33.28
10,188,-45.02,-7.53,4.19,0.50,1.20,36.78
11,188,-14.73,-7.26,-1.48,0.35,1.70,40.89
12,186,-21.34,-7.05,-0.37,0.45,1.24,44.35
13,185,-36.80,-7.51,-1.48,0.39,1.24,47.86
14,189,-38.48,-8.27,-1.48,0.32,1.11,51.28
15,187,-37.12,-8.05,-1.48,0.29,1.06,54.39
16,190,-38.24,-7.71,2.04,0.36,1.09,57.32
17,190,-31.59,-7.05,1.27,0.48,1.30,61.15
18,190,-31.45,-7.92,-1.48,0.31,1.44,64.74
19,190,-35.35,-7.38,-1.48,0.38,1.09,67.98
20,192,-27.87,-7.33,-1.48,0.36,1.18,71.29
21,191,-30.27,-7.03,-1.48,0.33,1.17,74.42
22,191,-28.94,-7.23,-1.48,0.25,1.09,77.32
23,191,-37.65,-7.44,-1.48,0.26,1.06,80.21
24,189,-27.87,-6.84,-1.48,0.43,1.19,83.47
25,192,-34.43,-7.37,-1.48,0.38,1.11,86.35
26,192,-27.87,-6.32,-1.48,0.36,1.09,89.29
27,189,-27.87,-6.79,-1.48,0.41,1.11,92.48
28,192,-27.87,-6.95,-1.48,0.47,1.13,95.79
29,194,-38.95,-6.98,-1.48,0.46,1.10,98.91
30,190,-27.87,-6.20,-0.60,0.38,1.13,101.87
31,192,-27.87,-6.74,-1.48,0.57,1.20,105.38
32,194,-27.87,-6.39,1.45,0.36,1.14,108.50
33,192,-28.22,-6.10,0.10,0.40,1.15,111.81
34,194,-27.87,-6.71,0.10,0.34,1.30,115.14
35,194,-35.53,-6.68,0.10,0.48,1.22,118.32
36,192,-42.62,-7.07,0.10,0.30,1.00,121.35
37,193,-44.11,-7.38,0.10,0.27,1.24,124.75
38,194,-34.62,-6.63,0.10,0.24,1.22,128.01
39,196,-43.32,-6.89,0.10,0.41,1.22,131.63
40,194,-29.93,-6.37,0.10,0.56,1.44,135.37
41,195,-27.87,-6.20,0.10,0.28,1.42,139.23
42,202,-37.09,-6.58,1.52,0.35,1.35,142.88
43,203,-33.76,-7.08,0.10,0.42,1.46,146.91
44,202,-31.71,-6.60,0.10,0.55,1.35,150.54
45,200,-27.87,-5.56,0.10,0.34,1.32,154.32
46,199,-43.93,-6.73,0.10,0.34,1.54,158.47
47,200,-32.40,-5.93,0.10,0.42,1.42,162.29
48,207,-28.21,-6.28,0.10,0.22,1.36,165.74
49,202,-31.56,-5.81,0.10,0.31,1.31,169.12
50,205,-36.35,-6.02,2.14,0.27,1.32,172.59
51,205,-27.87,-5.99,0.10,0.33,1.42,176.21
52,208,-27.87,-5.76,2.05,0.37,1.27,179.53
53,209,-43.27,-6.11,0.10,0.36,1.33,183.23
54,212,-27.87,-5.47,0.10,0.40,1.17,186.63
55,209,-36.38,-6.29,0.10,0.22,1.48,190.29
56,214,-44.23,-5.04,1.71,0.36,1.18,193.40
57,210,-44.02,-4.91,0.10,0.23,1.35,196.70
58,215,-38.19,-5.72,0.10,0.36,1.44,200.48
59,215,-31.40,-5.26,0.10,0.24,1.26,203.64
60,219,-38.51,-5.04,0.10,0.45,1.25,206.99
61,217,-38.16,-4.18,0.10,0.21,1.46,210.35
62,219,-27.87,-4.50,0.10,0.30,1.63,214.53
63,215,-37.89,-3.30,2.47,0.33,1.05,217.22
64,219,-27.87,-3.28,1.15,0.17,1.69,221.43
65,218,-31.60,-3.57,1.15,0.37,1.17,224.50
66,219,-46.01,-4.61,1.15,0.22,1.37,227.73
67,220,-33.83,-5.25,5.67,0.25,1.43,231.24
68,219,-27.87,-2.88,2.19,0.33,1.34,234.42
69,217,-42.91,-3.70,2.19,0.28,1.21,237.40
70,223,-35.50,-2.74,2.19,0.20,1.20,240.32
71,218,-37.98,-2.45,2.19,0.32,1.70,244.63
72,220,-27.87,-3.80,2.19,0.21,1.74,248.72
73,220,-27.87,-2.78,2.19,0.37,1.20,251.82
74,223,-34.96,-4.42,2.19,0.22,1.67,255.72
75,221,-30.62,-3.97,2.19,0.37,1.41,259.08
76,227,-45.48,-3.80,2.19,0.21,1.25,262.17
77,223,-27.87,-1.69,2.27,0.22,1.33,265.53
78,226,-44.02,-4.55,2.27,0.30,1.85,269.84
79,221,-32.40,-2.41,2.27,0.46,1.22,273.08
