Gen,NbVert,T_Min,T_Avg,T_Max,T_mutat,T_eval,T_total
0,173,-45.11,-14.74,-6.76,0.03,1.26,4.10
1,180,-45.59,-10.82,-6.86,0.29,1.06,8.47
2,177,-42.27,-9.19,-6.18,0.23,0.86,11.79
3,185,-45.64,-9.91,-5.92,0.38,1.03,16.04
4,185,-37.40,-8.50,-6.28,0.70,0.90,20.88
5,189,-38.05,-8.37,-5.87,0.27,0.95,24.47
6,189,-36.74,-8.08,-2.76,0.25,0.96,28.52
7,186,-45.85,-8.18,-4.44,0.32,1.04,32.71
8,188,-41.42,-7.93,-4.44,0.61,1.04,37.36
9,188,-38.81,-8.23,-4.44,0.37,0.98,41.24
10,190,-15.07,-6.64,2.12,0.44,0.81,44.81
11,193,-45.20,-8.27,-4.44,0.39,1.17,49.46
12,189,-25.45,-7.23,-1.53,0.49,0.90,53.73
13,192,-40.92,-7.75,-1.53,1.87,1.00,61.07
14,191,-39.38,-8.58,-1.53,0.39,0.92,64.85
15,195,-32.68,-7.32,-1.53,0.43,0.96,69.00
16,194,-42.95,-7.81,-1.48,0.59,0.89,73.35
17,191,-44.62,-8.03,1.90,0.29,1.09,77.47
18,192,-37.99,-7.68,-2.84,0.45,1.35,82.55
19,191,-45.60,-7.67,-2.84,0.40,1.02,86.86
20,201,-45.10,-7.73,-2.84,0.46,1.44,92.49
21,194,-36.86,-7.12,0.04,0.29,0.90,96.92
22,193,-38.15,-6.95,-0.00,0.30,0.91,101.22
23,192,-41.28,-7.24,-0.00,0.39,0.99,105.81
24,196,-36.30,-6.97,-0.00,0.25,1.01,109.77
25,198,-34.71,-6.85,-0.00,0.25,0.95,113.68
26,195,-29.67,-6.73,-0.00,0.57,1.00,118.13
27,190,-47.31,-7.14,-0.00,0.20,0.92,121.85
28,191,-37.41,-7.15,-2.84,0.43,1.42,126.79
29,194,-42.03,-7.93,-0.00,0.41,1.47,132.81
30,195,-43.13,-6.32,2.03,0.38,0.96,138.10
31,195,-34.34,-6.82,-0.00,1.04,1.22,143.96
32,193,-37.79,-6.46,3.24,1.04,1.00,150.24
33,187,-44.23,-6.09,2.64,0.44,1.19,155.28
34,185,-35.36,-5.87,1.36,0.28,1.59,160.46
35,193,-35.44,-5.52,2.52,0.32,1.10,164.95
36,193,-45.43,-6.69,1.27,0.37,1.54,170.59
37,194,-44.69,-7.11,1.78,0.28,1.30,175.10
38,194,-29.74,-5.65,1.36,0.47,1.57,180.63
39,194,-34.04,-5.34,4.38,0.63,1.17,185.65
40,202,-44.19,-4.54,4.46,0.40,1.43,190.87
41,201,-30.12,-5.55,4.43,0.35,1.89,196.87
42,206,-40.66,-4.83,3.31,1.35,1.16,203.58
43,204,-44.99,-5.71,1.56,0.57,2.31,210.59
44,204,-44.69,-5.35,1.56,0.40,1.22,216.21
45,207,-40.88,-4.29,3.22,0.63,1.68,221.86
46,206,-43.09,-5.78,4.43,0.30,2.39,229.59
47,210,-23.07,-3.79,1.56,0.37,1.08,235.83
48,207,-33.10,-5.21,4.43,0.32,1.68,242.65
49,202,-34.42,-3.38,4.45,0.31,1.08,247.20
50,208,-31.30,-3.11,4.43,0.29,1.57,252.52
51,204,-28.38,-2.94,4.43,0.65,1.59,258.97
52,201,-20.92,-1.94,4.43,0.40,1.20,263.90
53,202,-30.41,-2.42,4.43,0.52,1.23,270.23
54,205,-35.57,-1.18,4.43,0.42,1.33,275.95
55,207,-19.31,-3.12,4.43,0.18,2.02,282.36
56,210,-10.18,-1.12,4.43,0.47,1.33,287.56
57,208,-27.75,-1.60,4.43,0.50,1.68,293.74
58,210,-30.95,-1.94,4.43,0.27,1.10,298.77
59,211,-39.45,-2.08,4.43,0.24,1.10,303.12
60,211,-15.26,-1.20,4.43,0.22,0.99,307.53
61,212,-35.45,-2.05,4.43,0.32,1.06,312.09
62,210,-31.62,-2.45,4.43,0.21,2.03,319.10
63,207,-10.53,0.15,4.47,0.41,1.12,324.62
64,205,-35.32,-0.97,4.43,0.43,1.39,330.85
65,208,-41.61,-1.60,4.43,0.25,1.02,335.20
66,207,-41.63,-1.48,4.43,0.39,1.50,340.52
67,205,-42.22,0.16,5.66,0.83,1.53,346.21
68,199,-24.09,-2.02,4.43,0.87,4.20,359.17
69,201,-30.96,-2.38,4.43,0.76,2.20,367.66
70,204,-34.22,-0.72,4.43,0.95,1.52,376.11
71,207,-27.32,-1.82,4.43,0.82,2.09,383.18
72,204,-33.64,-0.99,4.43,0.55,1.76,390.26
73,208,-23.45,-0.24,4.43,1.08,1.79,397.52
74,210,-25.16,-1.64,4.43,0.53,1.68,404.91
75,212,-35.08,-0.54,3.11,0.23,0.94,408.53
76,204,-30.20,2.27,6.88,0.29,1.15,413.24
77,209,-38.16,1.12,4.78,0.42,1.29,418.91
78,209,-21.99,-0.50,4.78,0.21,1.30,423.29
79,206,-26.91,-0.64,4.78,0.39,1.15,427.70
