Gen,NbVert,T_Min,T_Avg,T_Max,T_mutat,T_eval,T_total
0,173,-45.11,-14.74,-6.76,0.02,1.65,1.68
1,180,-45.59,-10.82,-6.86,0.45,1.69,6.42
2,177,-42.27,-9.19,-6.18,0.26,0.95,10.63
3,185,-45.64,-9.91,-5.92,0.82,1.64,15.60
4,185,-37.40,-8.50,-6.28,0.97,1.53,21.87
5,186,-45.96,-8.49,-5.87,0.20,0.99,27.01
6,192,-28.31,-8.07,-5.71,0.58,1.13,31.16
7,191,-27.13,-7.50,-2.40,0.31,1.08,35.95
8,192,-42.55,-7.94,-4.68,0.83,1.00,40.91
9,194,-31.87,-8.30,-4.68,0.45,0.90,44.96
10,194,-34.47,-7.47,2.12,0.26,0.71,49.20
11,191,-31.16,-7.75,-2.58,0.38,1.00,52.96
12,190,-27.16,-7.30,-2.58,0.44,0.80,57.44
13,192,-19.92,-7.17,-2.58,0.44,0.95,61.57
14,193,-38.45,-7.53,-2.58,0.49,0.96,66.16
15,198,-23.16,-6.91,-2.58,0.40,1.02,70.22
16,197,-36.32,-6.90,-2.58,0.34,0.92,74.72
17,198,-42.10,-6.38,-2.58,0.23,1.09,79.93
18,192,-31.49,-7.50,-2.58,0.40,1.10,85.08
19,194,-30.81,-7.60,-2.58,0.34,0.91,89.47
20,204,-16.62,-6.40,-2.58,0.41,0.91,94.07
21,197,-30.32,-6.74,-2.58,0.58,0.91,98.22
22,194,-36.62,-7.18,-2.58,0.54,0.98,104.14
23,192,-42.99,-6.64,-2.58,0.28,1.04,108.38
24,197,-24.80,-6.62,-2.58,0.47,1.28,113.13
25,203,-35.33,-6.65,-2.58,0.52,0.91,117.45
26,199,-35.17,-6.21,-2.58,0.71,1.09,122.14
27,193,-41.31,-6.33,-2.58,1.45,1.67,129.94
28,196,-34.88,-6.46,-2.58,0.61,1.66,136.02
29,198,-44.07,-6.59,-2.58,0.44,1.27,142.16
30,201,-45.16,-5.92,0.17,0.34,1.38,147.07
31,200,-21.93,-5.56,0.14,0.31,1.38,151.74
32,207,-37.69,-5.78,0.14,0.45,1.54,156.96
33,200,-38.06,-5.58,0.14,0.82,2.27,163.79
34,198,-40.37,-5.73,0.14,0.48,1.61,168.96
35,203,-39.71,-5.42,0.14,0.30,1.68,175.08
36,203,-37.34,-5.99,0.14,0.30,1.84,180.91
37,201,-46.35,-5.85,0.14,0.37,1.41,186.62
38,204,-24.21,-5.11,0.14,0.47,1.40,191.98
39,201,-39.25,-5.74,0.14,0.44,1.72,197.05
40,209,-26.38,-4.71,2.61,0.87,1.34,202.70
41,208,-40.23,-5.54,1.47,0.16,1.91,207.65
42,208,-44.08,-5.50,1.47,0.47,1.48,214.09
43,210,-39.25,-5.76,1.47,0.17,1.58,219.61
44,205,-39.28,-5.13,1.47,0.30,1.35,224.41
45,214,-39.55,-5.05,2.47,0.34,1.38,229.40
46,213,-39.54,-5.46,1.47,0.33,1.38,233.80
47,213,-37.61,-5.07,1.47,0.21,1.20,238.67
48,216,-9.86,-4.88,1.47,0.60,1.55,244.64
49,215,-43.33,-5.09,1.47,0.64,1.43,250.46
50,223,-43.40,-6.22,1.47,0.29,1.40,255.93
51,222,-37.66,-5.15,1.47,0.28,1.30,260.66
52,224,-44.00,-5.36,1.47,0.37,1.31,266.50
53,223,-44.21,-5.98,1.47,0.75,1.25,272.04
54,226,-36.37,-5.15,1.47,0.33,1.45,276.98
55,234,-28.82,-5.04,1.47,0.24,1.48,281.91
56,234,-43.30,-5.31,1.47,0.51,1.17,287.07
57,234,-40.75,-5.29,1.47,0.42,1.52,292.02
58,231,-37.90,-4.88,1.47,0.40,1.16,297.13
59,234,-43.56,-5.31,1.47,0.21,1.24,301.74
60,243,-43.61,-5.24,2.27,0.38,1.14,306.43
61,239,-45.01,-4.98,1.47,0.40,1.16,311.79
62,237,-43.93,-4.21,2.27,0.53,1.09,318.39
63,237,-40.40,-3.32,2.63,0.29,1.04,322.78
64,232,-44.14,-3.35,2.45,1.21,1.48,328.03
65,244,-41.87,-4.05,2.45,0.30,1.05,332.31
66,244,-39.34,-3.45,2.45,0.41,1.05,336.53
67,245,-44.09,-3.47,2.45,0.32,1.07,340.57
68,238,-17.26,-2.51,2.45,0.43,1.35,346.25
69,235,-35.03,-2.52,2.51,0.36,0.95,351.39
70,253,-40.46,-2.36,2.46,0.64,1.01,355.86
71,251,-22.80,-2.79,2.45,0.37,1.43,360.68
72,250,-41.55,-2.42,2.45,0.27,1.07,365.35
73,245,-21.42,-1.86,2.45,0.26,1.14,370.27
74,245,-44.41,-2.41,2.45,0.34,1.06,374.45
75,253,-41.20,-2.16,2.45,0.32,1.01,379.42
76,247,-42.50,-3.15,2.45,0.23,1.14,383.74
77,241,-40.38,-1.46,2.61,0.21,0.91,387.76
78,236,-45.54,-2.81,2.45,0.52,1.34,392.21
79,237,-44.30,-2.85,2.45,0.32,1.15,397.26
