Gen,NbVert,T_Min,T_Avg,T_Max,T_mutat,T_eval,T_total
0,173,-45.11,-14.74,-6.76,0.04,1.07,2.22
1,180,-45.59,-10.82,-6.86,0.35,1.15,6.26
2,177,-42.27,-9.19,-6.18,0.25,0.89,10.21
3,185,-45.64,-9.91,-5.92,0.39,1.12,14.34
4,185,-37.40,-8.50,-6.28,0.80,0.92,19.31
5,189,-38.05,-8.36,-5.87,0.29,0.97,23.52
6,189,-36.74,-8.08,-2.76,0.27,0.98,27.38
7,186,-45.85,-8.18,-4.44,0.34,1.07,31.63
8,187,-31.28,-7.66,-4.44,0.58,1.00,36.21
9,191,-33.00,-8.14,-4.44,0.41,1.03,40.45
10,187,-37.09,-6.85,2.04,0.40,0.79,44.36
11,190,-29.37,-7.92,-3.30,0.37,1.24,49.12
12,189,-37.55,-7.27,-3.30,0.21,0.90,53.20
13,188,-19.44,-7.06,-3.30,0.45,0.99,57.44
14,189,-36.33,-8.35,-3.30,0.22,0.87,61.49
15,191,-29.93,-7.86,-3.30,0.51,0.87,65.79
16,191,-42.37,-7.81,-3.30,0.42,0.80,69.80
17,195,-38.50,-6.93,-3.30,0.55,1.07,74.28
18,191,-30.62,-7.85,-4.98,0.39,1.15,78.80
19,190,-41.90,-7.60,-3.30,0.53,0.88,83.29
20,190,-35.28,-7.38,-3.30,0.33,0.93,87.43
21,193,-27.33,-7.09,-3.30,0.36,0.91,91.60
22,188,-20.23,-6.68,-3.30,0.25,0.76,95.43
23,193,-43.63,-7.51,-3.30,0.48,0.95,100.01
24,191,-20.64,-6.84,-3.30,0.43,0.90,104.21
25,195,-40.09,-7.31,-3.30,0.31,0.97,108.40
26,192,-37.84,-6.91,-3.30,0.45,0.98,113.13
27,191,-22.55,-6.61,-3.30,0.74,1.01,117.57
28,195,-42.72,-7.11,-2.90,0.97,1.03,122.48
29,196,-48.30,-7.15,-3.30,0.43,1.02,127.13
30,191,-28.44,-5.99,-3.30,0.19,1.07,132.56
31,195,-20.93,-6.31,-3.30,0.31,1.37,137.25
32,190,-23.23,-5.92,-3.17,0.39,1.21,142.66
33,190,-19.51,-5.72,-1.22,0.31,1.34,147.59
34,188,-22.18,-5.91,-1.27,0.34,1.53,152.76
35,192,-21.34,-5.51,-0.50,0.31,1.25,157.57
36,189,-12.93,-5.68,0.07,1.13,1.87,163.96
37,192,-40.65,-6.25,0.07,0.33,1.19,168.75
38,186,-13.54,-5.95,0.07,0.41,0.95,173.62
39,191,-11.04,-5.99,1.28,0.32,1.04,178.14
40,189,-21.31,-5.66,1.26,0.35,1.02,182.74
41,192,-32.59,-5.81,0.80,0.42,1.53,188.33
42,195,-36.57,-5.91,0.80,0.51,1.51,195.79
43,187,-30.55,-5.99,0.80,0.63,1.78,202.37
44,190,-28.09,-6.11,0.80,0.35,0.92,207.11
45,188,-10.67,-5.43,0.80,0.32,0.99,211.42
46,189,-31.17,-6.12,0.80,0.65,1.20,216.59
47,196,-19.31,-5.62,0.80,0.37,1.06,221.39
48,193,-30.35,-5.88,1.84,0.39,1.15,226.30
49,188,-31.17,-5.51,3.15,0.25,1.02,231.38
50,188,-22.93,-5.28,4.48,0.34,1.06,235.95
51,189,-44.19,-5.71,4.38,0.42,1.20,241.03
52,189,-32.97,-4.70,4.44,0.55,1.29,246.40
53,186,-37.35,-5.50,4.44,0.50,1.17,251.44
54,191,-22.04,-5.49,4.44,0.77,1.10,256.93
55,191,-11.42,-5.20,4.44,0.69,1.49,262.63
56,194,-9.51,-4.66,4.44,0.31,1.16,267.27
57,187,-10.91,-4.67,4.44,0.47,1.04,272.07
58,192,-25.53,-4.86,4.44,0.45,1.11,277.13
59,191,-41.83,-4.98,4.44,0.55,1.07,281.71
60,197,-28.69,-4.65,4.44,0.35,1.14,286.69
61,199,-35.09,-4.47,4.44,0.49,1.17,291.65
62,198,-11.17,-3.88,4.45,0.35,1.14,296.95
63,196,-29.68,-3.31,5.64,0.40,1.29,302.47
64,196,-19.25,-3.67,5.64,0.21,1.32,307.47
65,200,-21.32,-3.43,5.64,0.59,1.16,312.85
66,206,-11.40,-3.54,5.64,0.19,1.16,317.29
67,204,-45.13,-1.08,9.38,0.34,0.94,321.76
68,203,-18.85,-1.71,6.84,0.81,1.87,327.52
69,203,-39.57,-2.54,6.84,0.39,1.53,333.32
70,218,-28.00,-1.58,6.84,0.31,1.14,339.14
71,214,-29.09,-1.48,6.84,0.45,1.05,343.36
72,215,-39.95,-2.48,6.84,0.53,1.10,348.37
73,215,-25.11,-0.99,6.84,0.43,1.24,354.56
74,212,-28.18,-0.91,6.84,0.55,1.18,359.80
75,223,-40.65,-2.20,6.84,0.47,1.34,364.81
76,219,-17.07,0.91,7.03,0.33,0.88,369.50
77,221,-37.51,-1.40,6.84,0.56,1.49,374.79
78,220,-29.23,-1.90,6.84,0.25,1.19,380.65
79,223,-16.73,-1.74,6.84,0.57,1.20,385.21
