Gen,NbVert,T_Min,T_Avg,T_Max,T_mutat,T_eval,T_total
0,173,-45.11,-14.74,-6.76,0.04,1.40,3.33
1,180,-45.59,-10.82,-6.86,0.35,1.24,7.90
2,177,-42.27,-9.19,-6.18,0.31,1.06,12.39
3,185,-45.64,-9.91,-5.92,0.42,1.50,17.35
4,185,-37.40,-8.50,-6.28,0.61,1.18,23.10
5,186,-45.96,-8.49,-5.87,0.26,1.24,28.06
6,192,-28.31,-8.08,-5.71,0.47,1.40,33.17
7,191,-27.13,-7.62,-2.40,0.74,1.36,38.69
8,192,-19.06,-7.48,-4.68,0.57,1.25,43.99
9,194,-34.05,-7.56,-4.68,0.37,1.12,48.94
10,191,-28.72,-6.64,2.04,0.34,1.01,53.65
11,188,-18.00,-7.33,-3.30,0.31,1.47,58.89
12,186,-21.89,-6.96,-3.30,0.34,1.12,63.76
13,186,-19.29,-7.01,-3.30,0.53,1.15,68.67
14,192,-38.25,-7.74,-3.30,0.46,1.21,73.51
15,200,-41.63,-7.51,-3.30,0.25,1.36,78.07
16,195,-33.69,-6.71,-3.30,0.31,1.03,82.24
17,192,-29.24,-7.07,-3.30,0.47,1.21,87.18
18,192,-33.90,-8.05,-3.30,0.46,1.26,92.55
19,194,-29.68,-7.33,-3.30,0.41,1.12,97.58
20,197,-45.25,-7.93,-3.30,0.44,1.00,102.44
21,195,-44.34,-7.14,-3.30,0.60,1.08,107.59
22,193,-46.13,-7.73,-3.30,0.43,1.04,112.34
23,192,-42.99,-7.90,-3.30,0.47,1.05,117.15
24,197,-20.34,-7.24,-3.30,0.33,1.16,121.98
25,203,-45.48,-8.41,-3.30,0.47,1.09,126.84
26,198,-37.30,-6.72,-3.30,0.33,1.01,131.59
27,196,-15.46,-6.28,-3.30,0.53,1.13,137.01
28,192,-41.58,-7.74,-3.30,0.25,1.04,142.48
29,196,-19.03,-6.59,-3.30,0.54,1.12,148.23
30,198,-40.89,-6.80,-3.30,0.30,1.21,153.72
31,195,-13.63,-6.34,-3.30,0.51,1.12,159.26
32,192,-37.69,-7.16,-3.30,0.38,1.18,164.71
33,188,-38.15,-6.55,-3.30,0.43,1.24,170.52
34,190,-25.09,-6.56,-3.30,0.39,1.44,176.49
35,195,-25.52,-6.26,-1.27,0.44,1.46,182.46
36,201,-38.59,-7.06,-0.87,0.47,1.58,188.50
37,198,-37.87,-6.68,-0.87,0.32,1.67,194.87
38,204,-32.01,-6.11,-0.87,0.45,1.55,201.29
39,206,-31.86,-6.09,-0.87,0.46,1.76,207.88
40,215,-27.95,-5.60,1.73,0.48,1.49,213.62
41,215,-37.62,-5.80,1.72,0.38,1.84,219.66
42,211,-21.60,-5.46,1.72,0.38,1.62,226.15
43,212,-37.91,-6.26,1.72,0.54,1.80,233.15
44,213,-41.06,-5.81,1.72,0.28,1.56,239.07
45,214,-22.40,-4.65,2.00,0.39,1.57,244.44
46,215,-12.33,-5.41,1.72,0.63,1.93,251.25
47,212,-29.11,-5.08,1.72,0.54,1.45,258.00
48,218,-28.28,-6.01,1.72,0.50,1.92,264.64
49,214,-33.38,-4.96,2.09,0.29,1.59,270.45
50,220,-36.10,-4.63,2.06,0.46,1.73,276.47
51,217,-40.96,-5.12,2.06,0.61,1.86,283.87
52,218,-19.42,-4.12,2.06,0.30,1.53,290.38
53,221,-11.82,-3.62,2.06,0.61,1.95,297.53
54,220,-22.68,-3.13,2.06,0.23,1.81,304.50
55,228,-30.21,-5.45,2.06,0.46,1.84,311.67
56,227,-11.81,-2.96,2.06,0.44,1.55,318.03
57,229,-23.44,-3.07,2.06,0.39,1.31,323.60
58,221,-31.12,-3.36,2.06,0.31,1.57,329.54
59,222,-19.35,-3.49,2.06,0.53,1.43,335.42
60,232,-10.95,-3.35,2.06,0.30,1.53,341.31
61,229,-14.36,-3.04,2.06,0.21,1.51,347.14
62,229,-30.81,-3.85,1.92,0.22,1.35,352.95
63,227,-9.94,-1.54,4.30,0.28,1.24,358.24
64,222,-16.35,-2.94,3.11,0.53,1.86,364.98
65,249,-15.33,-3.29,3.11,0.45,1.63,371.74
66,245,-42.84,-3.00,3.11,0.23,1.39,377.79
67,239,-35.55,-2.59,5.66,0.28,1.37,383.42
68,233,-45.36,-3.81,3.11,0.37,1.42,389.16
69,225,-40.20,-3.23,3.11,0.27,1.37,394.86
70,246,-27.61,-2.08,3.11,0.46,1.41,400.66
71,243,-29.82,-2.03,3.11,0.43,1.59,406.58
72,236,-40.18,-2.65,3.11,0.26,1.47,412.55
73,230,-44.85,-2.71,3.11,0.31,1.38,418.22
74,233,-14.70,-1.84,3.11,0.50,1.56,423.85
75,257,-44.62,-1.91,3.11,0.23,1.59,429.71
76,248,-14.13,-0.66,3.11,0.25,1.25,435.08
77,245,-44.18,-1.23,3.11,0.25,1.29,440.28
78,236,-30.38,-2.25,3.11,0.31,1.46,446.38
79,238,-25.39,-1.82,3.11,0.27,1.38,452.23
