Gen,NbVert,T_Min,T_Avg,T_Max,T_mutat,T_eval,T_total
0,430,-42.85,-12.83,-5.99,0.03,0.27,0.51
1,440,-43.71,-10.06,-6.37,0.22,0.23,2.08
2,451,-33.51,-8.26,-5.92,0.36,0.18,4.22
3,454,-42.50,-9.17,-5.51,0.34,0.31,6.65
4,457,-34.72,-8.15,-5.75,0.27,0.21,8.93
5,460,-26.57,-7.84,-4.48,0.50,0.21,11.53
6,460,-29.04,-7.71,-2.88,0.35,0.21,14.13
7,455,-35.79,-7.71,-2.62,0.35,0.31,16.70
8,460,-27.33,-7.55,-4.04,0.34,0.28,19.16
9,466,-20.60,-7.59,-5.01,0.29,0.38,21.78
10,473,-27.22,-6.72,-4.23,0.37,0.38,24.46
11,479,-29.43,-7.68,-4.59,0.49,0.34,27.59
12,474,-20.30,-6.87,-5.07,0.35,0.35,30.43
13,468,-39.50,-7.34,-4.73,0.46,0.25,33.16
14,473,-43.70,-7.87,-5.14,0.41,0.25,35.94
15,475,-25.56,-7.21,-5.11,0.34,0.27,38.92
16,472,-30.97,-6.90,-4.43,0.28,0.32,41.69
17,471,-37.37,-6.57,-4.21,0.33,0.34,44.51
18,477,-37.36,-7.27,-4.77,0.52,0.30,47.75
19,477,-35.84,-7.23,-4.53,0.31,0.39,50.88
20,482,-24.39,-6.84,-4.59,0.47,0.29,54.07
21,473,-23.16,-6.52,-4.10,0.60,0.29,57.32
22,481,-26.92,-6.61,-4.63,0.42,0.36,60.86
23,472,-36.94,-6.85,-4.86,0.56,0.33,64.19
24,479,-14.49,-6.72,-4.90,0.49,0.32,67.46
25,479,-22.94,-6.68,-2.18,0.39,0.38,70.79
26,482,-20.71,-6.44,-4.44,0.47,0.43,74.02
27,487,-36.53,-6.57,-4.03,0.50,0.53,77.78
28,486,-21.84,-7.03,-3.46,0.55,0.34,81.45
29,487,-20.55,-6.49,-3.25,0.38,0.45,85.08
30,487,-23.96,-6.09,-3.57,0.44,0.41,88.53
31,486,-19.74,-6.29,-3.98,0.43,0.44,92.06
32,486,-32.16,-6.81,-2.34,0.45,0.47,95.55
33,485,-36.96,-6.34,-2.22,0.38,0.40,98.95
34,487,-22.94,-6.17,-2.90,0.43,0.46,102.45
35,496,-32.70,-6.13,-1.10,0.35,0.46,105.93
36,488,-23.70,-6.20,-2.59,0.40,0.44,109.48
37,493,-42.04,-6.73,-4.18,0.39,0.41,112.91
38,494,-59.08,-6.18,-2.77,0.43,0.47,116.47
39,500,-30.80,-6.44,-2.58,0.48,0.47,120.21
40,506,-34.49,-6.22,-1.67,0.46,0.47,124.26
41,504,-26.78,-6.09,-2.43,0.38,0.39,127.81
42,502,-33.78,-6.10,1.54,0.37,0.49,131.36
43,506,-30.66,-6.22,-2.48,0.38,0.49,135.04
44,502,-26.98,-6.09,-2.48,0.35,0.42,138.73
45,512,-31.21,-5.52,-2.70,0.42,0.55,142.72
46,515,-37.60,-6.08,-2.70,0.42,0.51,146.84
47,505,-23.08,-5.35,-2.71,0.54,0.53,150.96
48,508,-22.56,-5.79,-2.79,0.86,0.56,155.67
49,504,-22.55,-5.32,-2.74,0.45,0.59,160.67
50,517,-39.79,-5.47,-2.69,0.57,0.60,165.26
51,521,-22.87,-5.43,-2.68,0.55,0.66,170.04
52,506,-33.37,-4.95,-0.15,0.42,0.65,174.51
53,507,-28.29,-5.00,-2.70,0.52,0.67,179.13
54,513,-33.80,-4.82,-2.73,0.54,0.68,184.28
55,519,-35.81,-5.33,-2.78,0.51,0.68,189.29
56,519,-24.96,-4.47,-2.94,0.58,0.73,194.14
57,526,-22.17,-4.44,-2.99,0.42,0.66,199.04
58,529,-35.86,-4.63,-2.99,0.48,0.70,203.62
59,521,-29.66,-4.84,-3.40,0.49,0.72,208.49
60,529,-22.09,-4.61,-3.43,0.57,0.74,213.46
61,529,-26.63,-4.41,-2.96,0.48,0.70,218.35
62,526,-39.85,-4.96,-3.42,0.43,0.70,223.09
63,526,-25.58,-4.20,-2.73,0.58,0.69,228.10
64,531,-30.44,-4.70,-3.09,0.42,0.74,233.32
65,527,-21.72,-4.39,-3.04,0.45,0.71,238.15
66,532,-21.94,-4.68,-3.33,0.58,0.72,242.92
67,530,-29.45,-4.62,-0.92,0.52,0.64,248.20
68,527,-22.11,-4.73,-2.95,0.64,0.72,253.58
69,521,-21.81,-4.48,-3.24,0.53,0.72,258.90
70,529,-31.95,-4.74,-3.32,0.48,0.67,263.93
71,535,-22.02,-4.56,-3.33,0.59,0.81,268.79
72,535,-35.94,-4.70,-3.41,0.43,0.71,273.74
73,532,-21.95,-4.42,-2.85,0.48,0.75,278.51
74,534,-33.82,-4.73,-3.04,0.49,0.69,283.45
75,542,-44.93,-4.59,-3.15,0.40,0.70,288.18
76,537,-36.90,-4.20,5.27,0.55,0.74,293.24
77,529,-25.88,-4.16,0.80,0.40,0.69,298.40
78,532,-22.35,-4.63,0.39,0.45,0.79,303.33
79,536,-22.11,-4.78,-0.62,0.48,0.70,308.32
80,538,-27.51,-4.71,-0.89,0.49,0.79,313.63
81,541,-27.51,-4.65,-0.62,0.58,0.76,319.01
82,551,-24.51,-4.52,-0.59,0.48,0.78,324.23
83,551,-29.35,-4.53,0.71,0.43,0.74,329.39
84,545,-34.14,-4.87,0.70,0.36,0.81,334.43
85,556,-26.05,-4.39,-0.08,0.41,0.81,339.26
86,554,-22.37,-4.06,-0.36,0.46,0.76,344.18
87,556,-30.68,-4.90,-0.18,0.32,0.77,349.12
88,553,-22.55,-4.10,3.20,0.43,0.87,354.15
89,554,-39.23,-4.38,0.27,0.52,0.84,359.31
90,551,-26.02,-4.17,0.61,0.47,0.85,364.74
91,557,-22.64,-4.40,1.24,0.52,0.81,370.07
92,550,-43.98,-4.39,0.64,0.57,0.85,375.52
93,552,-22.67,-4.16,0.41,0.50,0.83,380.92
94,552,-27.07,-4.12,0.28,0.53,0.87,386.61
95,564,-36.90,-4.18,1.09,0.50,0.91,392.27
96,568,-28.27,-3.99,1.61,0.56,0.95,397.90
97,566,-22.32,-4.17,0.10,0.43,1.01,403.89
98,564,-22.12,-3.97,-0.06,0.38,0.92,409.20
99,554,-22.14,-4.38,-0.22,0.37,0.91,414.49
100,556,-29.06,-4.49,-0.28,0.45,0.88,419.97
101,545,-22.08,-4.15,-0.29,0.46,0.79,425.53
102,549,-22.08,-4.14,-0.40,0.41,0.86,430.88
103,545,-22.01,-4.09,-0.45,0.43,0.92,436.62
104,547,-22.95,-4.01,-0.49,0.39,0.91,441.96
105,549,-21.83,-3.90,-0.63,0.53,0.97,447.60
106,554,-30.14,-3.73,6.01,0.36,0.82,452.94
