Gen,NbVert,T_Min,T_Avg,T_Max,T_mutat,T_eval,T_total
0,173,-45.11,-14.74,-6.76,0.02,1.55,1.57
1,180,-45.59,-10.82,-6.86,0.47,1.43,3.50
2,177,-42.27,-9.19,-6.18,0.36,1.12,4.99
3,185,-45.64,-9.91,-5.92,0.43,1.27,6.72
4,185,-37.40,-8.50,-6.28,0.57,1.08,8.38
5,184,-32.06,-8.35,-5.59,0.20,1.13,9.73
6,187,-42.09,-7.93,-5.78,0.41,1.23,11.39
7,188,-29.89,-7.88,-5.09,0.42,1.19,13.01
8,192,-29.19,-7.53,-5.51,0.34,1.23,14.60
9,188,-34.44,-7.75,-5.51,0.40,0.99,16.01
10,187,-39.96,-7.11,-4.34,0.83,0.99,17.86
11,189,-16.97,-7.46,-4.83,0.40,1.39,19.67
12,187,-22.95,-7.11,-4.64,0.36,1.19,21.26
13,187,-38.93,-7.53,-4.64,0.30,1.12,22.73
14,191,-45.59,-8.10,-4.63,0.40,1.54,24.70
15,189,-36.38,-7.69,-4.64,0.31,1.58,26.62
16,188,-36.08,-6.82,-4.43,0.27,1.05,27.97
17,192,-29.33,-6.82,-4.33,0.40,1.46,29.86
18,191,-30.06,-7.12,-4.75,0.28,1.40,31.57
19,189,-26.83,-6.87,-4.63,0.31,1.09,33.00
20,192,-30.65,-6.93,-4.52,0.22,1.25,34.51
21,190,-16.42,-6.40,-4.63,0.35,1.68,36.58
22,187,-38.16,-6.75,-4.47,0.54,1.62,38.78
23,187,-27.33,-6.72,-4.51,0.46,1.95,41.23
24,186,-39.13,-7.36,-4.51,0.58,1.66,43.52
25,189,-31.22,-6.75,-4.51,0.40,1.29,45.23
26,190,-34.59,-6.50,-4.30,0.10,1.40,46.79
27,189,-43.69,-6.66,-4.23,0.51,1.25,48.57
28,192,-40.47,-6.95,-4.23,0.47,1.30,50.36
29,190,-43.20,-6.85,-4.23,0.45,1.27,52.09
30,188,-44.03,-6.74,-4.17,0.56,1.59,54.25
31,194,-40.72,-6.70,-4.20,0.41,1.61,56.28
32,192,-43.62,-6.82,-4.20,0.52,1.64,58.46
33,190,-35.98,-6.42,-4.20,0.49,1.82,60.81
34,191,-44.88,-6.66,-4.16,0.53,1.82,63.19
35,193,-16.09,-5.83,-4.20,0.41,1.90,65.55
36,188,-30.31,-6.54,-4.20,0.57,1.67,67.81
37,189,-23.78,-6.05,-4.20,0.53,1.81,70.18
38,189,-38.05,-6.23,-4.20,0.38,2.02,72.62
39,188,-40.41,-6.64,-4.20,0.39,2.48,75.52
40,191,-40.46,-6.05,-4.20,0.50,2.17,78.21
41,188,-45.34,-6.42,-4.20,0.35,2.27,80.85
42,194,-20.14,-6.04,-4.20,0.48,2.53,83.88
43,195,-37.09,-5.98,-4.20,0.52,2.06,86.48
44,193,-40.80,-5.75,-4.20,0.39,1.71,88.60
45,196,-13.79,-5.10,-4.10,0.47,2.00,91.11
46,194,-27.23,-6.05,-4.20,0.40,2.39,93.93
47,196,-14.68,-5.18,-4.20,0.40,2.03,96.39
48,198,-22.56,-5.82,-4.20,0.26,2.59,99.27
49,196,-33.64,-5.52,-3.74,0.41,2.18,101.89
50,196,-28.97,-5.85,-3.80,0.36,2.52,104.81
51,195,-37.75,-5.85,-3.80,0.55,2.61,108.01
52,197,-36.41,-5.52,-3.19,0.46,2.03,110.54
53,196,-43.88,-5.35,-3.80,0.30,2.37,113.24
54,195,-41.30,-5.81,-3.80,0.25,2.40,115.92
55,199,-11.20,-5.44,-3.80,0.45,2.27,118.66
56,196,-12.44,-4.93,-3.80,0.36,2.22,121.26
57,194,-41.41,-5.49,-3.80,0.52,2.84,124.65
58,194,-23.59,-5.07,-3.80,0.32,2.28,127.28
59,197,-43.05,-5.53,-3.80,0.64,2.38,130.32
60,195,-20.67,-5.16,-3.80,0.28,2.21,132.83
61,194,-12.66,-4.97,0.27,0.36,2.50,135.72
62,195,-15.56,-5.16,-1.77,1.07,2.92,139.74
63,193,-19.92,-4.93,-1.77,0.35,2.26,142.38
64,192,-21.74,-5.18,-1.77,0.37,2.85,145.63
65,192,-12.99,-4.88,-1.77,0.49,2.45,148.59
66,198,-29.09,-5.43,-1.77,0.65,2.39,151.68
67,198,-37.68,-5.41,6.82,0.37,2.04,154.13
68,198,-36.84,-5.21,3.42,0.66,2.14,156.98
69,202,-21.24,-4.76,3.42,0.71,2.84,160.56
70,201,-39.17,-5.18,3.42,0.39,2.22,163.19
71,200,-15.62,-4.77,3.42,0.56,2.44,166.23
72,196,-33.29,-5.14,3.42,0.49,2.36,169.12
73,195,-29.43,-4.97,3.42,0.37,2.56,172.11
74,196,-40.01,-4.85,3.42,0.40,2.31,174.85
75,198,-28.07,-4.71,3.42,0.65,2.45,178.02
76,197,-42.32,-4.34,7.22,0.28,2.61,180.93
77,194,-14.75,-3.95,4.63,0.32,2.67,183.97
78,190,-15.96,-4.36,4.63,0.30,2.44,186.75
79,194,-28.52,-4.33,4.63,0.34,2.40,189.54
