Gen,NbVert,T_Min,T_Avg,T_Max,T_mutat,T_eval,T_total
0,173,-45.11,-14.74,-6.76,0.03,1.32,1.34
1,180,-45.59,-10.82,-6.86,0.60,1.50,3.47
2,177,-42.27,-9.19,-6.18,0.26,1.00,4.75
3,185,-45.64,-9.91,-5.92,0.42,1.21,6.41
4,185,-37.40,-8.50,-6.28,0.55,1.05,8.03
5,184,-32.06,-8.35,-5.59,0.20,1.10,9.35
6,187,-42.09,-7.93,-5.78,0.39,1.24,11.01
7,188,-29.89,-7.88,-5.09,0.42,1.30,12.75
8,192,-29.19,-7.53,-5.51,0.39,1.29,14.46
9,188,-34.44,-7.75,-5.51,0.38,0.99,15.86
10,187,-39.96,-7.11,-4.34,0.83,0.94,17.66
11,189,-16.97,-7.46,-4.83,0.39,1.31,19.38
12,187,-22.95,-7.11,-4.64,0.33,1.07,20.82
13,187,-38.93,-7.53,-4.64,0.26,1.09,22.21
14,191,-45.59,-8.10,-4.63,0.37,1.14,23.75
15,189,-36.38,-7.69,-4.64,0.21,1.19,25.16
16,188,-36.08,-6.82,-4.43,0.26,1.05,26.51
17,192,-29.33,-6.82,-4.33,0.36,1.45,28.37
18,191,-30.06,-7.12,-4.75,0.26,1.32,29.98
19,189,-26.83,-6.87,-4.63,0.30,1.07,31.36
20,192,-30.65,-6.93,-4.52,0.22,1.08,32.70
21,190,-16.42,-6.40,-4.63,0.32,1.16,34.21
22,187,-38.16,-6.75,-4.47,0.36,1.35,35.94
23,187,-27.33,-6.72,-4.51,0.47,1.34,37.79
24,186,-39.13,-7.36,-4.51,0.32,1.44,39.57
25,189,-31.22,-6.75,-4.51,0.39,1.30,41.30
26,190,-34.59,-6.50,-4.30,0.10,1.37,42.82
27,189,-43.69,-6.66,-4.23,0.49,1.24,44.58
28,192,-40.47,-6.95,-4.23,0.46,1.28,46.34
29,190,-43.20,-6.85,-4.23,0.43,1.24,48.03
30,188,-44.03,-6.74,-4.17,0.54,1.62,50.22
31,194,-40.72,-6.70,-4.20,0.42,1.61,52.27
32,192,-43.62,-6.82,-4.20,0.51,1.62,54.44
33,190,-35.98,-6.42,-4.20,0.50,1.71,56.69
34,191,-44.88,-6.66,-4.16,0.51,1.74,58.99
35,193,-16.09,-5.83,-4.20,0.34,1.95,61.31
36,188,-30.31,-6.54,-4.20,0.59,2.06,63.99
37,189,-23.78,-6.05,-4.20,0.48,1.74,66.25
38,189,-38.05,-6.23,-4.20,0.38,1.97,68.62
39,188,-40.41,-6.64,-4.20,0.40,1.81,70.85
40,191,-40.46,-6.05,-4.20,0.35,1.89,73.13
41,188,-45.34,-6.42,-4.20,0.37,2.29,75.81
42,194,-20.14,-6.04,-4.20,0.45,2.48,78.77
43,195,-37.09,-5.98,-4.20,0.53,2.10,81.43
44,193,-40.80,-5.75,-4.20,0.41,1.73,83.62
45,196,-13.79,-5.10,-4.10,0.47,1.92,86.03
46,194,-27.23,-6.05,-4.20,0.39,2.42,88.88
47,196,-14.68,-5.18,-4.20,0.40,2.05,91.37
48,198,-22.56,-5.82,-4.20,0.25,2.62,94.26
49,196,-33.64,-5.52,-3.74,0.41,2.14,96.85
50,196,-28.97,-5.85,-3.80,0.36,2.52,99.75
51,195,-37.75,-5.85,-3.80,0.52,2.56,102.87
52,197,-36.41,-5.52,-3.19,0.47,2.04,105.40
53,196,-43.88,-5.35,-3.80,0.30,2.36,108.10
54,195,-41.30,-5.81,-3.80,0.25,2.40,110.78
55,199,-11.20,-5.44,-3.80,0.47,2.29,113.57
56,196,-12.44,-4.93,-3.80,0.35,2.14,116.08
57,194,-41.41,-5.49,-3.80,0.52,2.68,119.31
58,194,-23.59,-5.07,-3.80,0.31,2.33,121.98
59,197,-43.05,-5.53,-3.80,0.63,2.27,124.91
60,195,-20.67,-5.16,-3.80,0.26,2.10,127.30
61,194,-12.66,-4.97,0.27,0.34,2.33,130.00
62,195,-15.56,-5.16,-1.77,0.71,2.76,133.51
63,193,-19.92,-4.93,-1.77,0.32,2.28,136.15
64,192,-21.74,-5.18,-1.77,0.35,2.80,139.33
65,192,-12.99,-4.88,-1.77,0.48,2.27,142.12
66,198,-29.09,-5.43,-1.77,0.57,2.46,145.17
67,198,-37.68,-5.41,6.82,0.38,2.06,147.64
68,198,-36.84,-5.21,3.42,0.61,2.15,150.44
69,202,-21.24,-4.76,3.42,0.74,2.66,153.88
70,201,-39.17,-5.18,3.42,0.40,2.32,156.64
71,200,-15.62,-4.77,3.42,0.56,2.41,159.66
72,196,-33.29,-5.14,3.42,0.52,2.23,162.45
73,195,-29.43,-4.97,3.42,0.26,2.24,164.99
74,196,-40.01,-4.85,3.42,0.39,2.31,167.75
75,198,-28.07,-4.71,3.42,0.63,2.34,170.76
76,197,-42.32,-4.34,7.22,0.29,2.60,173.68
77,194,-14.75,-3.95,4.63,0.34,2.71,176.76
78,190,-15.96,-4.36,4.63,0.31,2.83,179.94
79,194,-28.52,-4.33,4.63,0.35,2.27,182.60
