Gen,NbVert,T_Min,T_Avg,T_Max,V_Min,V_Avg,V_Max,T_mutat,T_eval,T_valid,T_total
0,1030,-43.38,-12.98,-5.91,-28.30,-7.96,-5.81,0.23,1.05,0.15,1.44
1,1064,-43.59,-11.00,-5.81,-26.70,-7.55,-5.64,1.10,1.07,0.22,3.83
2,1091,-42.75,-8.85,-3.15,-20.99,-7.24,-5.60,1.23,0.98,0.19,6.22
3,1095,-43.73,-9.65,-5.18,-17.61,-7.11,-3.82,1.55,1.01,0.27,9.06
4,1093,-35.37,-8.80,-4.85,-24.54,-6.89,-3.84,0.98,1.06,0.24,11.33
5,1080,-43.11,-8.06,-4.35,-38.70,-7.31,-4.35,1.23,1.12,0.21,13.89
6,1101,-38.01,-8.08,-2.77,-23.69,-6.05,-3.14,1.52,1.03,0.31,16.75
7,1100,-41.35,-7.88,-0.67,-32.03,-6.27,-3.19,1.38,0.98,0.26,19.37
8,1090,-43.30,-7.76,-3.37,-27.91,-5.03,-1.08,1.64,0.90,0.25,22.16
9,1095,-36.99,-8.26,-4.11,-24.19,-6.15,-4.14,1.66,0.81,0.31,24.94
10,1093,-42.01,-6.54,1.98,-32.59,-7.19,-3.87,1.47,0.85,0.24,27.50
11,1089,-38.48,-8.23,-1.20,-15.74,-5.73,-4.09,1.39,0.83,0.24,29.96
12,1086,-39.46,-7.20,-1.19,-20.20,-5.62,-1.52,1.22,1.04,0.24,32.46
13,1092,-43.92,-8.00,-2.40,-20.85,-4.70,-1.12,1.41,0.96,0.26,35.10
14,1100,-46.91,-9.58,-3.27,-12.42,-5.23,-3.46,1.60,0.90,0.27,37.87
15,1108,-37.21,-7.93,-3.86,-29.47,-5.45,-0.61,1.73,1.01,0.54,41.15
16,1095,-43.19,-7.28,-0.43,-22.33,-5.28,-3.05,1.56,1.48,0.26,44.45
17,1102,-44.02,-6.75,7.29,-39.34,-3.89,9.49,1.78,0.96,0.31,47.50
18,1094,-43.70,-8.48,3.74,-15.75,-4.97,0.47,1.39,1.11,0.26,50.26
